cod_catalo,codigo_dta,provincia,canton,distrito,cod_provin,cod_canton,area,region,ICR_2011,Terr_rural
"160105",60110,Puntarenas,Puntarenas,Isla del Coco,6,601,23.520000000000000,Pacífico Central,0.000000000000000,Territorio Insular
"160105",60104,Puntarenas,Puntarenas,Lepanto,6,601,424.310000000000002,Pacífico Central,4.666666507720000,Paquera Cóbano Lepanto Chira
"160105",11605,San José,Turrubares,Carara,1,116,220.550000000000011,Central,4.666666507720000,Puriscal Turrubares Mora Santa Ana
"160105",30804,Cartago,El Guarco,Patio de Agua,3,308,10.940000000000000,Central,3.333333253860000,Cartago Oreamuno El Guarco La Unión
"160105",10603,San José,Aserrí,Vuelta de Jorco,1,106,22.050000000000001,Central,3.000000000000000,Acosta Desamparados Aserrí
"160105",10604,San José,Aserrí,San Gabriel,1,106,11.730000000000000,Central,2.666666746140000,Acosta Desamparados Aserrí
"160105",30107,Cartago,Cartago,Corralillo,3,301,32.689999999999998,Central,3.000000000000000,Cartago Oreamuno El Guarco La Unión
"160105",11202,San José,Acosta,Guaitil,1,112,43.990000000000002,Central,3.666666746140000,Acosta Desamparados Aserrí
"160105",11201,San José,Acosta,San Ignacio,1,112,22.739999999999998,Central,3.000000000000000,Acosta Desamparados Aserrí
"160105",10406,San José,Puriscal,Candelarita,1,104,24.940000000000001,Central,4.000000000000000,Puriscal Turrubares Mora Santa Ana
"160105",10309,San José,Desamparados,Rosario,1,103,14.850000000000000,Central,3.000000000000000,Acosta Desamparados Aserrí
"160105",30803,Cartago,El Guarco,Tobosi,3,308,20.059999999999999,Central,2.666666746140000,Cartago Oreamuno El Guarco La Unión
"160105",50903,Guanacaste,Nandayure,Zapotal,5,509,105.079999999999998,Chorotega,4.333333492280001,Nandayure Hojancha Nicoya
"160105",10602,San José,Aserrí,Tarbaca,1,106,15.340000000000000,Central,2.666666746140000,Acosta Desamparados Aserrí
"160105",10402,San José,Puriscal,Mercedes Sur,1,104,183.550000000000011,Central,4.333333492280001,Puriscal Turrubares Mora Santa Ana
"160105",10405,San José,Puriscal,San Rafael,1,104,15.500000000000000,Central,3.000000000000000,Puriscal Turrubares Mora Santa Ana
"160105",30801,Cartago,El Guarco,El Tejar,3,308,6.120000000000000,Central,1.000000000000000,Cartago Oreamuno El Guarco La Unión
"160105",30105,Cartago,Cartago,Aguacaliente o San Francisco,3,301,99.260000000000005,Central,3.000000000000000,Cartago Oreamuno El Guarco La Unión
"160105",30109,Cartago,Cartago,Dulce Nombre,3,301,33.640000000000001,Central,2.666666746140000,Cartago Oreamuno El Guarco La Unión
"160105",11203,San José,Acosta,Palmichal,1,112,34.140000000000001,Central,3.666666746140000,Acosta Desamparados Aserrí
"160105",30205,Cartago,Paraíso,Llanos de Santa Lucía,3,302,6.540000000000000,Central,1.000000000000000,Paraíso Alvarado
"160105",30201,Cartago,Paraíso,Paraíso,3,302,18.289999999999999,Central,2.000000000000000,Paraíso Alvarado
"160105",61102,Puntarenas,Garabito,Tárcoles,6,611,93.640000000000001,Pacífico Central,4.666666507720000,Quepos Garabito Parrita
"160105",51102,Guanacaste,Hojancha,Monte Romo,5,511,75.269999999999996,Chorotega,4.000000000000000,Nandayure Hojancha Nicoya
"160105",60601,Puntarenas,Quepos,Quepos,6,606,236.050000000000011,Pacífico Central,3.333333253860000,Quepos Garabito Parrita
"160105",30802,Cartago,El Guarco,San Isidro,3,308,134.879999999999995,Central,4.666666507720000,Cartago Oreamuno El Guarco La Unión
"160105",61002,Puntarenas,Corredores,La Cuesta,6,610,37.079999999999998,Brunca,3.333333253860000,Osa Corredores Golfito
"160105",61003,Puntarenas,Corredores,Canoas,6,610,122.019999999999996,Brunca,3.333333253860000,Osa Corredores Golfito
"160105",61001,Puntarenas,Corredores,Corredor,6,610,275.670000000000016,Brunca,3.333333253860000,Osa Corredores Golfito
"160105",60701,Puntarenas,Golfito,Golfito,6,607,355.899999999999977,Brunca,5.000000000000000,Osa Corredores Golfito
"160105",60803,Puntarenas,Coto Brus,Aguabuena,6,608,63.890000000000001,Brunca,3.000000000000000,Buenos Aires Coto Brus
"160105",60703,Puntarenas,Golfito,Guaycará,6,607,323.100000000000023,Brunca,3.666666746140000,Osa Corredores Golfito
"160105",60505,Puntarenas,Osa,Piedras Blancas,6,605,262.579999999999984,Brunca,4.333333492280001,Osa Corredores Golfito
"160105",60801,Puntarenas,Coto Brus,San Vito,6,608,74.590000000000003,Brunca,3.333333253860000,Buenos Aires Coto Brus
"160105",50901,Guanacaste,Nandayure,Carmona,5,509,31.660000000000000,Chorotega,4.333333492280001,Nandayure Hojancha Nicoya
"160105",60804,Puntarenas,Coto Brus,Limoncito,6,608,123.640000000000001,Brunca,3.666666746140000,Buenos Aires Coto Brus
"160105",60802,Puntarenas,Coto Brus,Sabalito,6,608,186.860000000000014,Brunca,5.000000000000000,Buenos Aires Coto Brus
"160105",60307,Puntarenas,Buenos Aires,Chánguena,6,603,273.040000000000020,Brunca,4.333333492280001,Buenos Aires Coto Brus
"160105",60502,Puntarenas,Osa,Palmar,6,605,250.800000000000011,Brunca,3.333333253860000,Osa Corredores Golfito
"160105",60306,Puntarenas,Buenos Aires,Colinas,6,603,128.800000000000011,Brunca,4.000000000000000,Buenos Aires Coto Brus
"160105",60304,Puntarenas,Buenos Aires,Boruca,6,603,125.790000000000006,Brunca,4.333333492280001,Buenos Aires Coto Brus
"160105",60806,Puntarenas,Coto Brus,Gutiérrez Braun,6,608,238.189999999999998,Brunca,0.000000000000000,Buenos Aires Coto Brus
"160105",60805,Puntarenas,Coto Brus,Pittier,6,608,257.050000000000011,Brunca,4.333333492280001,Buenos Aires Coto Brus
"160105",60305,Puntarenas,Buenos Aires,Pilas,6,603,114.340000000000003,Brunca,4.000000000000000,Buenos Aires Coto Brus
"160105",60308,Puntarenas,Buenos Aires,Biolley,6,603,208.270000000000010,Brunca,4.666666507720000,Buenos Aires Coto Brus
"160105",50206,Guanacaste,Nicoya,Nosara,5,502,133.650000000000006,Chorotega,4.666666507720000,Nandayure Hojancha Nicoya
"160105",11912,San José,Pérez Zeledón,La  Amistad,1,119,76.290000000000006,Brunca,0.000000000000000,Pérez Zeledón
"160105",60309,Puntarenas,Buenos Aires,Brunka,6,603,163.770000000000010,Brunca,4.333333492280001,Buenos Aires Coto Brus
"160105",60302,Puntarenas,Buenos Aires,Volcán,6,603,187.409999999999997,Brunca,4.333333492280001,Buenos Aires Coto Brus
"160105",60303,Puntarenas,Buenos Aires,Potrero Grande,6,603,626.700000000000045,Brunca,5.000000000000000,Buenos Aires Coto Brus
